Plot ID,VWC1,per1,VWC2,per2,VWC3,per3,VWC4,per4
KDM1,6,1.177,9.7,1.243,8.1,1.215,NA,NA
KDM2,8.7,1.225,7.3,1.202,5.8,1.172,NA,NA
KDM3,6.3,1.183,4.9,1.157,NA,NA,NA,NA
KDM4,10.1,1.215,11.4,1.273,8.9,1.229,NA,NA
KDM5,8.6,1.225,10.3,1.253,14.8,1.328,NA,NA
KDM6,6.9,1.195,7.6,1.206,7.7,1.208,NA,NA
KDM7,6.9,1.195,8.2,1.216,5.8,1.173,NA,NA
KDM8,11.8,1.278,7.3,1.202,7.4,1.204,NA,NA
KDM9,5.9,1.177,8.8,1.227,11.3,1.27,NA,NA
KDM10,NA,NA,NA,NA,NA,NA,NA,NA
KDM11,NA,NA,NA,NA,NA,NA,NA,NA
KDM12,NA,NA,NA,NA,NA,NA,NA,NA
KDM13,NA,NA,NA,NA,NA,NA,NA,NA
KDM14,NA,NA,NA,NA,NA,NA,NA,NA
KDM15,NA,NA,NA,NA,NA,NA,NA,NA
KDM16,NA,NA,NA,NA,NA,NA,NA,NA
KDM17,NA,NA,NA,NA,NA,NA,NA,NA
KDM18,7.6,1.207,7.8,1.209,5.4,1.166,NA,NA
KDM19,8.2,1.217,8.6,1.224,5.6,1.169,NA,NA
KDM20,4.2,1.142,6.9,1.195,8.3,1.219,NA,NA
KDM21,7.3,1.2,7.1,1.198,6.4,1.184,NA,NA
KDM22,25.9,1.499,7.8,1.212,12.3,1.287,NA,NA
KDM23,12.3,1.285,14.9,1.328,14.3,1.319,NA,NA
KDM24,9.9,1.248,10.3,1.255,10.8,1.261,NA,NA
KDM25,8.1,1.215,11.4,1.273,8.3,1.219,NA,NA
KDM26,8.6,1.225,9.5,1.241,7.4,1.203,NA,NA
KDM27,6.8,1.192,9.1,1.233,8.6,1.225,NA,NA
KDM28,10.8,1.262,16.2,1.351,15.8,1.344,NA,NA
KDM29,18.6,1.387,7.4,1.204,5.7,1.171,NA,NA
KDM30,5.5,1.168,5.9,1.174,9.6,1.242,NA,NA
KDM31,12.4,1.289,11.9,1.281,11.8,1.278,NA,NA
KDM32,11.6,1.276,10.1,1.251,8.7,1.227,NA,NA
KDM33,17.3,1.366,17.6,0.372,19.5,1.4,NA,NA
KDM34,16.4,1.352,12.6,1.292,21.1,1.425,NA,NA
KDM35,11.9,1.282,9.4,1.238,13.1,1.299,NA,NA
KDM36,15.6,1.34,14.1,1.316,19.5,1.4,NA,NA
KDM37,9.2,1.234,11.7,1.277,4.7,1.151,NA,NA
KDM38,19.9,1.407,18.3,1.382,16.7,1.359,NA,NA
KDM39,22.1,1.441,12.8,1.295,8.5,1.223,NA,NA
KDM40,7.8,1.211,11.6,1.276,13,1.299,NA,NA
KDM41,11.9,1.281,5.6,1.225,10.9,1.265,NA,NA
KDM42,20,1.409,16.3,1.352,16.5,1.354,NA,NA
KDM43,14.3,1.305,9.9,1.248,10.8,1.262,NA,NA
KDM44,4.4,1.146,8.3,1.219,4.6,1.151,NA,NA
KDM45,16.4,1.352,8.9,1.231,11.2,1.269,NA,NA
KT1,7.3,1.202,5.7,1.172,0.2,1.051,7.7,1.208
KT2,14.1,1.317,22.6,1.44,16.7,1.357,25.5,1.493
KT3,6.3,1.182,14.7,1.326,12.6,1.292,7.8,1.209
KT4,12.7,1.294,14.1,1.317,14.5,1.322,14.9,1.328
KT5,16.3,1.346,11.3,1.27,15.6,1.339,13.4,1.304
KT6,5.6,1.16,8.5,1.22,12.5,1.289,14,1.314
KT7,5.5,1.168,12.1,1.284,5.3,1.164,8.8,1.227
KT8,20.3,1.413,21.6,1.433,18.1,1.379,18.8,1.39
KT9,19.3,1.397,23.5,1.463,16.9,1.359,19.3,1.397
KT10,13.8,1.311,16.6,1.356,15,1.331,16.2,1.349
KT11,15.1,1.33,13.7,1.311,16.2,1.349,16.9,1.362
KT12,11.1,1.267,12.6,1.292,9.3,1.27,11.6,1.276
KT13,21,1.424,20.7,1.41,19.7,1.401,17.7,1.372
KT14,20.7,1.418,18.7,1.388,23.8,1.466,22.9,1.453
KT15,16.3,1.352,15.6,1.34,12.2,1.285,11.7,1.277
KT16,5.8,1.172,13.5,1.307,7.9,1.212,9.8,1.247
KT17,20.4,1.415,19.8,1.406,17.1,1.363,22.9,1.452
KT18,12.3,1.289,13.7,1.311,27.5,1.524,9.47,1.23
KT19,9.2,1.234,10.3,1.253,8.8,1.227,12.8,1.295
KT20,15.1,1.331,12.6,1.292,15.1,1.331,7.5,1.205
KT21,3.1,1.12,7.2,1.119,7.7,1.208,10.5,1.258
KT22,6.1,1.17,9.4,1.238,11.1,1.268,12.8,1.295
KT23,14.6,1.325,10.3,1.253,12.1,1.285,9.7,1.244
KT24,11,1.267,5.5,1.168,7.5,1.206,7.8,1.211
KT25,18.1,1.381,13.6,1.309,12.9,1.299,5.4,1.168
KT26,11,1.266,6.1,1.179,7.5,1.205,6.6,1.188
KT27,12.2,1.286,18.4,1.383,19.3,1.398,17.7,1.37
KT28,7.7,1.209,4.6,1.149,9.6,1.242,13.1,1.301
KT29,16.9,1.36,22.7,1.45,16.4,1.353,21.4,1.429
KT30,7.8,1.212,14.5,1.324,13.5,1.308,7.2,1.2
KT31,NA,NA,NA,NA,NA,NA,NA,NA
KT32,NA,NA,NA,NA,NA,NA,NA,NA
KT33,NA,NA,NA,NA,NA,NA,NA,NA
KT34,NA,NA,NA,NA,NA,NA,NA,NA
KT35,NA,NA,NA,NA,NA,NA,NA,NA
KT36,NA,NA,NA,NA,NA,NA,NA,NA
KT37,NA,NA,NA,NA,NA,NA,NA,NA
VG37,9.1,1.232,11.8,1.279,13.9,1.313,NA,NA
VG36,6.4,1.183,8.4,1.222,9.7,1.243,NA,NA
VG35,12.8,1.295,10.2,1.252,11.1,1.267,NA,NA
VG34,12.2,1.285,17.1,1.364,12.1,1.283,NA,NA
VG33,13.6,1.308,12.9,1.298,17.5,1.369,NA,NA
VG32,11.7,1.276,11.3,1.27,14.9,1.328,NA,NA
VG31,8.2,1.217,7.4,1.203,15.8,1.343,NA,NA
VG30,11.7,1.277,8.3,1.219,8.8,1.227,NA,NA
VG29,7,1.196,7.8,1.21,8.5,1.223,NA,NA
VG28,10.1,1.249,10.2,1.282,7.9,1.212,NA,NA
VG27,6.9,1.195,11.8,1.279,5.7,1.171,NA,NA
VG26,6.8,1.191,2.9,1.116,3.9,1.136,NA,NA
VG25,9.7,1.243,8.9,1.229,5.9,1.176,NA,NA
VG24,7.8,1.209,9.5,1.239,6.8,1.191,NA,NA
VG23,9.9,1.248,13.1,1.301,11.2,1.269,NA,NA
VG22,10.3,1.255,5.9,1.176,12,1.283,NA,NA
VG21,11.9,1.279,17.7,1.372,13.6,1.308,NA,NA
VG20,16.6,1.355,17.4,1.368,17,1.362,NA,NA
VG19,11.4,1.272,11.6,1.275,5.6,1.165,NA,NA
VG18,10.2,1.252,7.9,1.213,11.2,1.269,NA,NA
VG17,11.4,1.273,15.4,1.337,11.6,1.276,NA,NA
VG16,13.6,1.308,14.4,1.321,13.5,1.307,NA,NA
VG15,12.3,1.287,13.7,1.309,17.1,1.364,NA,NA
VG14,8,1.214,5.2,1.162,6.8,1.192,NA,NA
VG13,17.5,1.369,13.9,1.313,16.1,1.348,NA,NA
VG12,14.6,1.324,17.9,1.376,15.1,1.331,NA,NA
VG11,12,1.283,11.2,1.268,11.7,1.277,NA,NA
VG10,NA,NA,NA,NA,NA,NA,NA,NA
VG1,12.1,1.284,15,1.331,18.7,1.388,NA,NA
VG2,12.8,1.295,14.3,1.32,11.3,1.27,NA,NA
VG3,9.8,1.246,14.4,1.321,13.1,1.301,NA,NA
VG4,12.9,1.298,9.8,1.244,11,1.266,NA,NA
VG5,17.9,1.377,18.8,1.389,18.7,1.388,NA,NA
VG6,15.1,1.333,15.2,1.334,16.7,1.357,NA,NA
VG7,15,1.347,13.7,1.311,18.3,1.382,NA,NA
VG8,12.7,1.293,13.4,1.304,14.1,1.317,NA,NA
VG9,11.3,1.27,16.6,1.355,11.1,1.267,NA,NA
VG38,16.2,1.349,19.9,1.407,16.1,1.333,NA,NA
VG39,20.6,1.417,18.5,1.386,17.5,1.369,NA,NA
VG40,22.2,1.442,21.7,1.434,16.7,1.357,NA,NA
VG41,NA,NA,NA,NA,NA,NA,NA,NA
VG42,15.9,1.345,11.6,1.276,7.5,1.206,NA,NA
VG43,6.5,1.186,6.2,1.181,7.2,1.198,NA,NA
DG1,9.7,1.242,10.9,1.264,12.2,1.285,NA,NA
DG2,15.1,1.333,11.3,1.27,14.1,1.317,NA,NA
DG3,12.5,1.291,11.3,1.27,8.8,1.229,NA,NA
DG4,14.9,1.328,12.6,1.292,8.1,1.215,NA,NA
DG5,12.9,1.298,13.9,1.312,13.9,1.313,NA,NA
DG6,13.3,1.303,10.3,1.253,8.9,1.229,NA,NA
DG7,7.7,1.209,11.1,1.267,8.2,1.217,NA,NA
DG8,17.9,1.377,17.7,1.372,15.3,1.334,NA,NA
DG9,10.7,1.26,5.5,1.166,4.2,1.14,NA,NA
DG10,6.7,1.19,5.8,1.173,7.9,1.213,NA,NA
DG11,9.3,1.237,12.8,1.294,8.3,1.219,NA,NA
DG12,13.5,1.307,16.9,1.362,20.1,1.409,NA,NA
DG13,10.3,1.255,7.6,1.207,13.1,1.301,NA,NA
DG15,20.8,1.421,19.6,1.403,16.9,1.361,NA,NA
DG16,6.8,1.19,5.6,1.169,9.9,1.249,NA,NA
DG14,14.7,1.326,12.3,1.287,9.4,1.239,NA,NA
DG17,7.8,1.209,6.7,1.191,8.4,1.221,NA,NA
DG18,6.7,1.19,15.3,1.335,11.9,1.281,NA,NA
DG19,16.4,1.354,11.1,1.268,7.6,1.206,NA,NA
DG20,6.6,1.188,8.4,1.222,7.8,1.211,NA,NA
DG21,4.6,1.149,4.2,1.14,4.8,1.154,NA,NA
DG22,6.3,1.183,10.2,1.252,10.9,1.265,NA,NA
DG23,7.2,1.199,6.2,1.144,5.5,1.166,NA,NA
EXTRA1,NA,NA,NA,NA,NA,NA,NA,NA
EXTRA2,NA,NA,NA,NA,NA,NA,NA,NA
